arming;age;race;state
dangerous;53;A;WA
dangerous;47;W;OR
unarmed;23;H;KS
harmless;32;W;CA
harmless;39;H;CO
dangerous;18;W;OK
dangerous;22;H;AZ
dangerous;35;W;KS
unarmed;34;W;IA
harmless;47;B;PA
harmful;25;W;CA
dangerous;31;B;TX
harmful;41;B;OH
dangerous;30;W;IA
dangerous;37;B;LA
neutral;28;W;MT
harmless;42;W;UT
unarmed;36;B;AR
dangerous;49;W;UT
dangerous;71;W;AR
dangerous;33;H;TX
dangerous;39;W;IL
dangerous;23;H;CA
dangerous;29;H;NV
dangerous;34;W;NM
harmful;43;W;TX
neutral;24;B;MN
neutral;29;W;MO
dangerous;34;B;VA
harmful;75;W;NJ
dangerous;68;W;TX
harmful;34;W;UT
dangerous;27;B;IN
dangerous;39;B;CO
dangerous;24;W;MN
harmful;36;H;CA
dangerous;33;W;LA
dangerous;41;W;TX
harmful;48;O;CA
dangerous;21;B;OK
dangerous;24;H;CA
harmful;27;H;TX
dangerous;32;W;AZ
dangerous;67;W;KY
harmful;49;W;MA
neutral;42;B;AZ
dangerous;36;W;CA
dangerous;36;H;TX
dangerous;19;B;MO
dangerous;54;W;NH
harmless;25;B;TX
harmful;17;W;TX
dangerous;61;W;TX
neutral;29;B;FL
harmful;56;H;TX
dangerous;40;W;TX
dangerous;45;W;ID
harmful;26;B;MD
dangerous;26;H;CO
neutral;17;H;CO
dangerous;68;W;MN
unarmed;24;H;TX
harmful;34;H;CA
neutral;26;N;AZ
dangerous;29;W;AZ
dangerous;33;B;OH
harmful;39;W;NE
dangerous;45;W;TX
harmful;35;A;CA
dangerous;26;W;TX
unarmed;42;W;OK
dangerous;31;W;MI
dangerous;48;W;MT
dangerous;31;H;TX
harmful;54;B;MD
dangerous;17;W;MI
unarmed;59;W;PA
dangerous;42;W;CA
dangerous;23;B;MO
dangerous;38;B;CA
harmful;29;B;CA
dangerous;45;W;GA
unarmed;28;B;FL
dangerous;37;H;FL
dangerous;28;H;AZ
unarmed;28;H;AZ
dangerous;51;B;TX
harmful;36;B;TN
dangerous;59;W;CA
dangerous;25;B;OK
harmless;26;W;CA
dangerous;74;B;NC
dangerous;33;W;AK
dangerous;27;W;TX
dangerous;57;W;NY
dangerous;46;W;FL
dangerous;41;W;TX
dangerous;61;W;ME
dangerous;45;B;TX
unarmed;35;H;WA
dangerous;49;B;TN
dangerous;45;W;CO
harmful;23;B;CA
harmless;46;W;AL
neutral;23;W;CA
dangerous;21;H;KS
unarmed;35;H;PA
dangerous;27;W;TN
harmful;37;H;AZ
dangerous;16;W;MD
dangerous;51;W;TX
unarmed;25;B;FL
dangerous;34;W;MS
harmful;34;W;OR
dangerous;56;W;AZ
dangerous;26;W;ID
harmless;24;W;UT
dangerous;43;W;NC
unarmed;31;W;MO
dangerous;32;W;MI
harmless;30;W;MA
neutral;50;H;TX
neutral;20;B;NC
unarmed;31;H;TX
dangerous;38;B;AL
dangerous;77;B;AL
dangerous;41;W;NM
harmful;51;W;IN
dangerous;50;W;FL
harmful;42;W;PA
unarmed;39;W;NE
dangerous;47;W;LA
harmful;37;W;GA
dangerous;41;W;GA
dangerous;16;B;AL
harmful;30;W;WI
neutral;27;B;OK
dangerous;43;W;NV
unarmed;31;W;IN
dangerous;42;H;FL
harmful;21;H;CA
unarmed;49;W;MS
dangerous;34;W;GA
unarmed;27;H;CA
dangerous;24;W;SC
unarmed;17;W;MI
unarmed;34;B;MO
harmful;28;H;AZ
dangerous;28;B;MO
dangerous;40;B;NC
dangerous;37;W;AZ
dangerous;49;W;MS
unarmed;43;B;CA
dangerous;35;A;TX
dangerous;20;B;IL
dangerous;25;B;MD
harmful;25;W;AZ
unarmed;26;W;FL
dangerous;28;A;CA
harmful;45;B;WI
unarmed;36;H;CA
dangerous;34;W;NE
unarmed;37;B;CO
neutral;48;B;FL
unarmed;19;B;WI
dangerous;29;W;AZ
dangerous;40;H;OK
neutral;35;W;DE
harmful;43;B;CA
dangerous;58;W;NC
dangerous;46;W;CO
dangerous;30;B;FL
unarmed;27;B;GA
dangerous;31;B;LA
harmful;23;W;GA
harmful;37;H;CA
dangerous;64;B;OH
dangerous;31;W;TN
dangerous;39;H;CA
harmless;31;W;AZ
neutral;25;H;CA
dangerous;54;W;AL
dangerous;53;W;AL
neutral;37;B;MD
unarmed;35;B;DC
dangerous;59;W;MO
harmful;36;W;CA
unarmed;32;H;CA
dangerous;41;H;CA
dangerous;29;H;TX
harmful;53;W;WV
dangerous;26;W;WI
harmful;27;W;MS
dangerous;28;W;MN
dangerous;52;W;NC
dangerous;20;W;TX
unarmed;22;H;CA
dangerous;49;W;OR
dangerous;24;W;NC
neutral;24;W;CA
harmful;47;W;CA
dangerous;49;W;AZ
dangerous;64;W;FL
dangerous;16;B;FL
unarmed;20;W;WA
dangerous;36;W;CA
harmful;39;W;AL
unarmed;18;B;OH
dangerous;31;W;ID
dangerous;24;N;AZ
harmful;63;B;LA
dangerous;34;W;OK
dangerous;44;W;NY
dangerous;60;W;IN
dangerous;42;W;OH
dangerous;21;W;AZ
harmful;37;W;CA
harmful;36;W;OR
neutral;21;B;NY
dangerous;24;B;CA
dangerous;38;W;WI
dangerous;29;B;VA
dangerous;57;W;CA
neutral;23;B;GA
dangerous;27;B;SC
dangerous;28;H;CA
dangerous;63;W;AZ
dangerous;53;W;KS
harmful;35;H;CA
dangerous;56;W;CA
harmful;39;B;FL
harmless;23;H;CA
dangerous;40;W;MA
harmful;26;B;CA
dangerous;42;W;WV
dangerous;41;B;MA
neutral;26;W;OH
dangerous;29;B;KY
dangerous;49;W;OR
dangerous;36;W;FL
harmless;21;H;TX
neutral;27;B;MD
dangerous;37;B;CA
harmful;36;W;NJ
dangerous;32;B;IL
dangerous;63;W;IL
unarmed;44;B;OK
dangerous;27;W;LA
harmful;38;W;VA
dangerous;17;B;IL
unarmed;50;B;SC
dangerous;31;B;CA
dangerous;34;W;NM
harmful;51;W;AZ
dangerous;56;W;CA
dangerous;23;W;IN
dangerous;25;B;LA
dangerous;31;W;ID
dangerous;32;W;OK
dangerous;60;W;TX
neutral;42;B;GA
dangerous;39;H;CA
harmful;28;A;CA
harmful;22;W;FL
dangerous;29;B;IN
dangerous;31;W;PA
dangerous;28;W;SC
harmful;21;H;CA
dangerous;38;W;KS
dangerous;66;W;OK
dangerous;36;B;IN
harmful;83;W;OK
dangerous;32;W;NC
dangerous;27;H;IL
neutral;26;B;TX
harmful;31;W;AR
dangerous;22;B;FL
harmful;41;B;SC
unarmed;41;B;TX
harmless;51;W;MO
dangerous;72;W;CO
harmless;52;H;CA
harmful;47;H;CA
dangerous;18;B;IL
dangerous;29;H;CA
harmful;23;B;MO
dangerous;43;H;AZ
dangerous;45;W;FL
dangerous;40;W;KY
harmful;44;W;NE
dangerous;25;H;TX
neutral;35;B;NJ
unarmed;37;N;WA
harmful;59;W;SC
harmful;35;H;CA
unarmed;18;B;VA
harmful;51;H;AZ
dangerous;30;W;NY
dangerous;31;B;TX
dangerous;39;A;CO
dangerous;26;W;CA
dangerous;51;W;OK
unarmed;19;H;CA
neutral;46;W;CA
dangerous;49;W;OR
dangerous;63;W;OK
dangerous;20;B;CO
harmful;25;W;TX
unarmed;24;B;NY
harmful;58;W;FL
unarmed;29;W;OK
dangerous;76;W;CA
dangerous;45;W;CA
harmful;20;B;MI
dangerous;58;W;OH
dangerous;21;B;LA
dangerous;27;W;IL
harmful;26;W;OK
dangerous;33;H;AZ
